"sim_id","n_events","loss"
732,7,1204.21997524802
733,6,560.514278354985
734,0,0
735,0,0
736,0,0
737,0,0
738,5,53818.703466903
739,12,1200.98829689316
740,0,0
741,0,0
742,15,1201.25573587279
743,0,0
744,19,664.307922710609
745,0,0
746,11,355.584675369798
747,9,604.292576084884
748,0,0
749,12,1093.38268855285
750,3,1.25439987391624
751,19,5933.70493613729
752,0,0
753,3,16.7958380583456
754,2,4.93103979526838
755,0,0
756,7,85.9918871190272
757,7,44.0014798227687
758,0,0
759,7,1209.03758014317
760,10,107.290967238749
761,8,33.9658361816409
762,4,15040.4551879851
763,0,0
764,0,0
765,3,5.8029930256762
766,10,89.7155405532338
767,13,608.443204009084
768,0,0
769,0,0
770,0,0
771,10,465.768105579915
772,6,2852.46899513302
773,0,0
774,4,8.00823537615481
775,1,7289.32031112206
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,4,13.5027758765165
782,8,296.129291310665
783,0,0
784,0,0
785,0,0
786,0,0
787,7,1119.47932937838
788,12,1054.68259046579
789,7,213.048732854898
790,6,247.243634931422
791,0,0
792,5,66.1021486434728
793,5,110.211775394736
794,11,547.060444645481
795,10,122.590421573582
796,6,129.290527235382
797,7,227.594905718274
798,9,394.710773334455
799,8,414.356169716722
800,0,0
801,7,1.46497950282232
802,7,348.2950479019
803,8,59.1803191541676
804,7,1886.78897696431
805,0,0
806,0,0
807,4,194.508327092773
808,0,0
809,0,0
810,4,3295.69040493488
811,0,0
812,0,0
813,3,171.902899401209
814,3,4.30936430453346
815,5,17868.6084151191
816,0,0
817,10,1355.23207916809
818,9,805.57869913702
819,0,0
820,8,450.100665125663
821,0,0
822,0,0
823,0,0
824,5,719.774397507765
825,5,6.85883955958377
826,0,0
827,0,0
828,1,1.22837960557118
829,0,0
830,9,8.30590709089505
831,12,430.399361970342
832,0,0
833,11,214.097376919784
834,0,0
835,5,689.363822011466
836,6,2145.61718204714
837,1,0.000285500027298201
838,6,884.96037229032
839,5,31.2845252405488
840,0,0
841,2,18.9114691784474
842,0,0
843,0,0
844,0,0
845,2,4.07976252913201
846,8,2884.00228285398
847,0,0
848,0,0
849,0,0
850,9,1024.51831957539
851,0,0
852,9,4092.7110298377
853,6,277.356373717654
854,5,74.7283505802008
855,6,6.72956576683889
856,4,21.0466462862789
857,4,72.5178807092998
858,5,111.100559291749
859,6,55.1990416602867
860,5,81.3875469145527
861,4,13882.03766656
862,5,370.517643904117
863,0,0
864,12,2560.92797329046
865,0,0
866,9,113.17347207577
867,8,33.7631173115977
868,0,0
869,0,0
870,1,3607.1434844283
871,0,0
872,0,0
873,3,1.43026828607331
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,5,109.782741162511
880,0,0
881,4,181.884241076776
882,0,0
883,0,0
884,6,1603.37290666379
885,0,0
886,0,0
887,0,0
888,2,496.00309862256
889,0,0
890,0,0
891,3,27.0504742146038
892,0,0
893,6,701.465072010204
894,6,48.9357587515949
895,8,387.073728056297
896,8,5775.52737154655
897,0,0
898,0,0
899,0,0
900,0,0
901,7,324.57421685492
902,3,675.484846336637
903,0,0
904,0,0
905,11,3006.54897764247
906,0,0
907,0,0
908,3,21361.2536684332
909,12,1177.22045131461
910,3,4.69318801723245
911,3,0.931258248184952
912,0,0
913,2,41.3621609382028
914,5,1204.89603715518
915,0,0
916,0,0
917,0,0
918,5,869.566860133719
919,0,0
920,6,81.3488648512327
921,3,2037.63776402234
922,5,642.080051295238
923,3,8026.55678236944
924,8,1102.390602832
925,11,344.22861022392
926,9,205.583406877465
927,4,66.8287527383736
928,9,497.591058291793
929,0,0
930,4,31.4499374402362
931,0,0
932,1,81.836593840826
933,0,0
934,5,31.9655470565699
935,0,0
936,4,126.114325461963
937,8,148.863031922646
938,2,10006.5841965364
939,0,0
940,6,1848.38780089534
941,2,194.636178834229
942,16,643.132169320592
943,6,4477.88729679313
944,7,39.201572465946
945,0,0
946,13,692.157589335802
947,4,494.897916315329
948,5,416.292665152539
949,8,744.944580789022
950,6,15.2646315635798
951,0,0
